outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
2,1,104,52,0,0,0,0,88.17,44.09,4585.0,2292.5,6877.5,132.26,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
1,1,40,83,0,0,0,0,677.92,677.92,27116.88,56267.53,83384.41,1355.84,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,61.11,61.11,2444.38,5072.08,7516.46,122.22,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,66.31,66.31,2652.4,5503.73,8156.129999999999,132.62,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,299.19,299.19,11967.48,24832.53,36800.009999999995,598.38,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,114,0,0,1,26,696.61,696.61,27864.5,79413.83,107278.33,1393.22,40,40,40.0,114,114,114,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,85.47,85.47,3418.76,7093.92,10512.68,170.94,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,85.16,85.16,3406.4,7068.29,10474.69,170.32,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,85.33,85.33,3413.13,7082.23,10495.36,170.66,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,723.53,723.53,28941.2,60053.0,88994.2,1447.06,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,101.41,101.41,4056.48,8417.21,12473.689999999999,202.82,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,734.43,734.43,29377.02,60957.32,90334.34,1468.86,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,114,0,0,1,26,668.31,668.31,26732.34,76187.17,102919.51,1336.62,40,40,40.0,114,114,114,1,0,1,1,1,0,0,0
1,0,76,0,1,19,0,0,0,0,0,0,0,0,76,76,76,0,0,0,1,0,0,1,1,0,0,0
1,1,40,83,0,0,0,0,693.39,693.39,27735.52,57551.2,85286.72,1386.78,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,85.11,85.11,3404.26,7063.84,10468.1,170.22,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,84.71,84.71,3388.45,7031.03,10419.48,169.42,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,27.87,27.87,1114.93,2313.48,3428.41,55.74,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,85.94,85.94,3437.6,7133.02,10570.62,171.88,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,86.06,86.06,3442.26,7142.68,10584.94,172.12,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,114,0,0,1,26,74.26,74.26,2970.52,8465.99,11436.51,148.52,40,40,40.0,114,114,114,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,722.53,722.53,28901.32,59970.24,88871.56,1445.06,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
